コード,現在株価,RSI(14),出来高倍率,売買代金(百万円),目標利確(+5%),損切り(-4%)
1808.T,2759.0,45.5,1.45,2689.0,2897.0,2648.6
1911.T,1347.0,46.6,1.3,4600.0,1414.4,1293.1
1925.T,4587.0,50.3,1.4,10028.0,4816.4,4403.5
2002.T,2001.0,45.0,1.21,1673.0,2101.1,1921.0
2154.T,1967.0,45.6,1.13,335.0,2065.3,1888.3
2157.T,1025.0,40.7,1.28,742.0,1076.2,984.0
2170.T,640.0,65.5,1.37,306.0,672.0,614.4
2181.T,263.3,47.7,1.45,2217.0,276.5,252.8
2229.T,2986.0,49.0,1.55,1158.0,3135.3,2866.6
2264.T,1242.0,56.6,1.14,2365.0,1304.1,1192.3
2269.T,4110.0,62.2,1.61,4939.0,4315.5,3945.6
2270.T,3655.0,48.6,2.19,748.0,3837.8,3508.8
2503.T,3038.0,58.2,1.2,12115.0,3189.9,2916.5
256A.T,2023.0,54.7,2.15,393.0,2124.2,1942.1
2587.T,4650.0,49.3,1.18,5541.0,4882.5,4464.0
2602.T,1924.0,47.8,2.01,555.0,2020.2,1847.0
2607.T,4106.0,57.8,1.13,1059.0,4311.3,3941.8
2659.T,3355.0,66.3,1.3,505.0,3522.8,3220.8
2685.T,3470.0,53.2,1.16,650.0,3643.5,3331.2
2811.T,2641.5,42.1,1.21,914.0,2773.6,2535.8
2815.T,5280.0,53.7,1.78,500.0,5544.0,5068.8
3105.T,2420.5,62.6,1.94,2234.0,2541.5,2323.7
3106.T,10910.0,64.2,1.81,545.0,11455.5,10473.6
3167.T,1219.0,62.1,3.41,316.0,1280.0,1170.2
3289.T,1312.5,47.6,1.17,3975.0,1378.1,1260.0
3401.T,1752.0,59.4,1.25,1420.0,1839.6,1681.9
3405.T,1954.5,69.7,3.37,3848.0,2052.2,1876.3
3612.T,1606.0,49.8,1.55,408.0,1686.3,1541.8
3774.T,3632.0,60.2,1.71,1837.0,3813.6,3486.7
3964.T,1470.0,61.4,1.21,541.0,1543.5,1411.2
4023.T,4420.0,69.5,1.14,1129.0,4641.0,4243.2
417A.T,1761.5,49.2,1.34,513.0,1849.6,1691.0
4208.T,3350.0,63.2,1.17,2946.0,3517.5,3216.0
4527.T,2862.5,67.4,5.62,3678.0,3005.6,2748.0
4540.T,3771.0,44.9,1.21,1556.0,3959.6,3620.2
4680.T,1327.0,57.9,1.4,3420.0,1393.4,1273.9
4686.T,4060.0,68.6,1.16,340.0,4263.0,3897.6
4689.T,483.6,65.6,1.33,7462.0,507.8,464.3
4751.T,1499.0,51.8,1.44,5847.0,1574.0,1439.0
4902.T,658.5,57.5,1.28,2859.0,691.4,632.2
4912.T,1797.5,61.1,1.73,1889.0,1887.4,1725.6
4919.T,2894.0,55.4,1.46,326.0,3038.7,2778.2
4922.T,5920.0,63.5,2.78,1828.0,6216.0,5683.2
4927.T,1398.5,59.9,2.31,925.0,1468.4,1342.6
4985.T,4725.0,51.9,2.4,358.0,4961.2,4536.0
5020.T,1349.5,67.7,1.82,9375.0,1417.0,1295.5
5021.T,4088.0,68.3,2.07,2423.0,4292.4,3924.5
5110.T,2487.5,65.4,2.38,5791.0,2611.9,2388.0
5233.T,4210.0,61.8,1.34,2650.0,4420.5,4041.6
5463.T,1831.5,54.4,1.12,1182.0,1923.1,1758.2
547A.T,465.0,64.9,1.39,692.0,488.2,446.4
5831.T,3413.0,64.6,1.89,5934.0,3583.7,3276.5
5838.T,5777.0,64.6,2.17,5985.0,6065.9,5545.9
5947.T,3614.0,49.0,2.29,1350.0,3794.7,3469.4
6273.T,74190.0,59.6,2.57,21670.0,77899.5,71222.4
6460.T,2769.5,63.6,1.59,2898.0,2908.0,2658.7
6465.T,5740.0,69.7,1.3,2850.0,6027.0,5510.4
6481.T,7194.0,56.7,1.46,10248.0,7553.7,6906.2
6486.T,3035.0,63.5,2.09,374.0,3186.8,2913.6
6592.T,1648.5,60.3,1.14,1819.0,1730.9,1582.6
