Ticker,現在株価($),RSI(14),出来高倍率,売買代金(M$),目標利確(+5%),損切り(-4%)
AFL,124.61,51.8,1.19,257.0,130.84,119.63
AIG,78.78,45.1,1.39,267.1,82.72,75.63
AXON,571.01,56.5,1.82,475.4,599.56,548.17
XYZ,79.0,49.4,1.12,430.7,82.95,75.84
CI,282.49,49.1,1.12,580.9,296.61,271.19
EBAY,111.98,46.5,1.25,492.4,117.58,107.5
XOM,153.04,58.7,1.26,2220.2,160.69,146.92
GEN,29.17,67.7,2.46,125.9,30.63,28.0
GILD,133.21,50.0,1.19,912.3,139.87,127.88
KKR,102.81,61.0,1.67,429.2,107.95,98.7
MCK,869.58,58.9,1.52,869.5,913.06,834.8
NSC,334.36,50.6,1.93,418.6,351.08,320.99
NVR,6390.14,48.2,1.11,230.3,6709.65,6134.53
PCG,17.46,50.4,1.2,420.4,18.33,16.76
PSX,203.91,42.2,1.12,532.4,214.11,195.75
RL,395.53,62.7,1.14,237.3,415.31,379.71
RSG,214.56,40.4,1.35,306.9,225.29,205.98
TTWO,246.5,56.1,2.02,473.7,258.82,236.64
